,200,202,204,206,208,210,212,214
Simonstown,,,,,,,,
Glencairn,05:31,06:51,07:51,08:51,09:51,10:51,11:51,12:51
Sunny Cove,05:40,07:00,08:00,09:00,10:00,11:00,12:00,13:00
Fish Hoek,05:45,07:05,08:05,09:05,10:05,11:05,12:05,13:05
