,201,203,205,207,209,211,213,215,217
Fish Hoek,,,,,,,,,
Sunny Cove,,,,,,,,,
Glencairn,06:44,07:44,08:44,09:49,14:29,15:49,16:49,17:49,18:49
Simonstown,06:50,07:50,08:50,09:55,14:35,15:55,16:55,17:55,18:55
